full_title,guest,length,views,likes,dislikes,date,comments_num,likes/dislikes,views/likes,views/comments_num
Максим Фадеев - о конфликте с Эрнстом и русском рэпе,Максим Фадеев ,52,8621967,167000.0,11000.0,2017-05-16,30245,15.181818181818182,51.62854491017964,285.07082162340885
Невзоров - о Фараоне и ориентации Милонова,Невзоров ,85,14349677,326000.0,26000.0,2018-01-30,47203,12.538461538461538,44.01741411042945,303.9992585217041
Колокольников,Колокольников,72,3884574,79000.0,9200.0,2018-05-22,11053,8.58695652173913,49.171822784810125,351.4497421514521
"Собчак - о Навальном, крестном и выборах",Собчак ,96,14875828,251000.0,67000.0,2017-10-24,52065,3.746268656716418,59.26624701195219,285.7164697973687
"Щербаков - спецназ, панк-рок, любовь",Щербаков ,99,21323332,789000.0,45000.0,2020-01-28,125871,17.533333333333335,27.025769328263625,169.40623336590636
"Ходорковский - об олигархах, Ельцине и тюрьме",Ходорковский ,82,16599003,239000.0,28000.0,2017-08-08,34695,8.535714285714286,69.45189539748954,478.4263726761781
"Влади (Каста) - о Навальном, новом альбоме и Максе Корже",Влади (Каста) ,56,3853173,99000.0,8900.0,2017-05-23,13748,11.123595505617978,38.92093939393939,280.27153040442244
"Илья Найшуллер - о Ленинграде, Ла-Ла Ленде и Тарантино",Илья Найшуллер ,59,3934806,114000.0,4100.0,2017-03-28,7733,27.804878048780488,34.51584210526316,508.8330531488426
IC3PEAK – music and modern art (English subs),IC3PEAK ,93,7069151,295000.0,35000.0,2020-06-30,29110,8.428571428571429,23.96322372881356,242.84270010305738
MORGENSHTERN – главный шоумен России-2020,MORGENSHTERN ,167,12996065,491000.0,62000.0,2020-11-03,77670,7.919354838709677,26.46856415478615,167.32412771984036
Хлебников - лучший русский фильм-2017/ вДудь - YouTu,Хлебников ,55,2895796,71000.0,5500.0,2017-10-03,8430,12.909090909090908,40.785859154929575,343.51079478054567
Петров - о BadComedian и лучшем русском режиссере,Петров ,56,9616378,219000.0,25000.0,2017-12-25,22550,8.76,43.91040182648402,426.4469179600887
Лапенко – новая звезда русского интернета,Лапенко ,80,18733064,792000.0,20000.0,2020-03-03,73005,39.6,23.652858585858585,256.59973974385315
"Балагов - ему 27, а он снова на Каннском фестивале",Балагов ,75,4710821,156000.0,7900.0,2019-06-11,26199,19.746835443037973,30.197570512820512,179.80919119050344
Андрей Колесников — летописец Путина,Андрей Колесников ,79,6094786,171000.0,62000.0,2020-02-18,77218,2.7580645161290325,35.64202339181286,78.92960190629128
Усович – белорусские протесты и русский стендап,Усович ,76,11197433,426000.0,25000.0,2020-07-29,30956,17.04,26.28505399061033,361.7209264762889
Давидыч - огромное интервью о жизни после тюрьмы,Давидыч ,135,17044759,476000.0,222000.0,2019-05-15,179963,2.144144144144144,35.80831722689076,94.7125742513739
"Слепаков - о ""Нашей Russia"" и современной России",Слепаков ,62,10302120,251000.0,23000.0,2017-12-12,29109,10.91304347826087,41.04430278884462,353.9152839328043
Лошак – как оставаться журналистом в 2020 году,Лошак ,109,5595993,158000.0,12000.0,2020-07-14,20883,13.166666666666666,35.417677215189876,267.9688263180577
